date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca
2024-06-16,0.010309278350515464,0.040040927945468666,0.016129032258064516,0.24682924301415207,0.019230769230769232,2425644.0,0.14828883197513507,0.017679900744416874,0.9286762365143455,0.895327034536142,0.9120016355252438,0.06621301275703974,0.116341636549225
2024-06-23,0.01718213058419244,0.039612754894852234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018931628493014892,0.02448648077413325
2024-06-30,0.01718213058419244,0.03683883149243459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018006987358875678,0.023161713891423963
2024-07-07,0.01718213058419244,0.04034273473759372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019174955107262054,0.02483510363800412
2024-07-14,0.020618556701030927,0.04308844043180455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02123566571094516,0.028013812358497266
2024-07-21,0.030927835051546393,0.04353256262184223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024820132557796207,0.03382816972786285
2024-07-28,0.01718213058419244,0.04859825467340457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02192679508586567,0.028777764564032783
2024-08-04,0.020618556701030927,0.04496430459911838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186095376671644,0.028909685230528448
2024-08-11,0.020618556701030927,0.048144317628338436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02292095810978979,0.03042839189129027
2024-08-18,0.020618556701030927,0.05507360527842904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02523072065981999,0.03373767245455523
2024-08-25,0.01718213058419244,0.05947434090181342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025552157162001956,0.03397195227531888
2024-09-01,0.020618556701030927,0.054946012163059096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02518818962136334,0.033676736693475276
2024-09-08,0.027491408934707903,0.06790162080062227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031797676578443394,0.04359889615763862
2024-09-15,0.01718213058419244,0.06537797620143028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027520035595207576,0.03679140306682578
2024-09-22,0.01718213058419244,0.0556784457195577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024286858767916714,0.03215911338319038
2024-09-29,0.01718213058419244,0.05520610582131321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02412941213516855,0.03193353388303864
2024-10-06,0.010309278350515464,0.05671023235442423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022339836901646565,0.028917036727416516
2024-10-13,0.01718213058419244,0.06298928585887957,0.016129032258064516,0.005351771845199961,0.019230769230769232,138792.0,0.012113569527569586,0.017679900744416874,0.7333588204556499,0.7211002783658249,0.7272295494107375,0.03076166199021387,0.043442563878841774
2024-10-20,0.01718213058419244,0.07052954823449162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029237226272894684,0.039251684420428756
2024-10-27,0.020618556701030927,0.07508732153833131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031901959413120747,0.0432957981324131
2024-11-03,0.027491408934707903,0.07466282905835055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03405141266435282,0.04682790557409634
2024-11-10,0.024054982817869417,0.07487507529834092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032976686038736776,0.045061851853254724
2024-11-17,0.027491408934707903,0.07626387728486758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034585095406525164,0.047592532191493786
2024-11-24,0.048109965635738834,0.08717186179211893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04509394247595259,0.06400646193733986
2024-12-01,0.03436426116838488,0.08688477728253656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04041634615030715,0.056399684412049976
2024-12-08,0.030927835051546393,0.09500166239107045,0.016129032258064516,0.008467218901971565,0.019230769230769232,84017.0,0.013870449034977299,0.017679900744416874,0.7567470513069486,0.6905313984256191,0.7236392248662838,0.04659998215919805,0.06733076435460283
2024-12-15,0.027491408934707903,0.11029443338228494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04592861410566428,0.06384480277645191
2024-12-22,0.054982817869415807,0.09170264424463036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048895154038015386,0.06990510340788768
2024-12-29,0.08934707903780068,0.11819293796643567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06918000566807879,0.10123048503848259
2025-01-05,0.061855670103092786,0.16458407711531597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07547991573946959,0.10844656335234086
2025-01-12,0.048109965635738834,0.11988600045884448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559986553648611,0.07963003952577119
2025-01-19,0.03436426116838488,0.10380190678096066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046055389316448515,0.06447894604215984
2025-01-26,0.058419243986254296,0.11053980475799635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05631968291475022,0.08076874907380986
2025-02-02,0.061855670103092786,0.09539916401972295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05241827804093858,0.07540531874829737
2025-02-09,0.037800687285223365,0.09817676799277628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045325818425999885,0.06365991728334053
2025-02-16,0.03436426116838488,0.09063282504652856,0.04838709677419355,0.03789313650052146,0.057692307692307696,213849.0,0.0486556089615541,0.05303970223325062,0.8331437727150379,0.7474267873774565,0.7902852800462472,0.05788423172548918,0.0894869709979559
2025-02-23,0.05154639175257732,0.09630090382546244,0.016129032258064516,0.0007223515183831096,0.019230769230769232,13134.0,0.009502922145299691,0.017679900744416874,0.6312631750527191,0.577516297424789,0.604389736238754,0.052450072574446484,0.07634638875063285
2025-03-02,0.058419243986254296,0.12678707040072829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617354381289942,0.08852809795825001
2025-03-09,0.041237113402061855,0.129873842307178,0.016129032258064516,0.008298587266862088,0.019230769230769232,19057.0,0.01377535338461773,0.017679900744416874,0.7557214998102664,0.600183652935521,0.6779525763728937,0.06162876969795252,0.08952606118893892
2025-03-16,0.048109965635738834,0.11288923568043324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053666400438724025,0.07628853331962741
2025-03-23,0.030927835051546393,0.13031305706970142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053746964040415936,0.07527269015314322
2025-03-30,0.03436426116838488,0.11914129833356031,0.016129032258064516,0.018591734643797063,0.019230769230769232,42053.0,0.01957991990869275,0.017679900744416874,0.7968434419278495,0.6483839783325694,0.7226137101302095,0.05769515980354598,0.08439932726652372
2025-04-06,0.03436426116838488,0.1524983100046498,0.016129032258064516,0.0016500343938423807,0.019230769230769232,8948.0,0.01002606601632935,0.017679900744416874,0.6733744089404712,0.5541466382646005,0.6137605236025359,0.065629545729788,0.09418449366230622
2025-04-13,0.027491408934707903,0.12141098355889098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04963413083119963,0.0691538309605425
2025-04-20,0.04467353951890034,0.12065401286482123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05510918412790719,0.07812940791809511
2025-04-27,0.10652920962199314,0.12329175515371904,0.016129032258064516,0.01072430175305154,0.019230769230769232,53649.0,0.015143275225030731,0.017679900744416874,0.7687941037185642,0.6632147555252315,0.7160044296218978,0.0816547466669143,0.12274344236839757
2025-05-04,0.27147766323024053,0.2549371787935335,0.11290322580645161,0.1482851009742461,0.13461538461538464,1560295.0,0.14729071318921064,0.12375930521091813,0.90269895529812,0.8684566463522514,0.8855778008251858,0.2245685184043282,0.3602532582458874
2025-05-11,0.15120274914089346,0.5265326202841155,0.7903225806451613,0.9829618384829707,0.9038461538461539,10099531.0,0.9999999999999999,0.8470843672456576,0.9991239125989794,0.982194197291644,0.9906590549453117,0.5592451231416696,0.9730996957505899
2025-05-18,0.07903780068728522,0.1986354897796688,0.11290322580645161,0.05980618538682158,0.13461538461538464,420988.0,0.09739521158043499,0.12375930521091813,0.856407860164057,0.7886762570841858,0.8225420586241214,0.1250228340157963,0.19669451006931465
2025-05-25,0.058419243986254296,0.09813137428826967,0.0967741935483871,0.29772940518496505,0.11538461538461539,2871036.0,0.22247057182587612,0.10607940446650124,0.9382343561244547,0.9055932917289536,0.9219138239267042,0.12634039670013336,0.21794501274181502
2025-06-01,0.027491408934707903,0.09767007610193218,0.016129032258064516,0.023253776945695415,0.019230769230769232,40227.0,0.022208963649002912,0.017679900744416874,0.8082502005563371,0.6456805547504123,0.7269653776533747,0.049123482895214336,0.07210140126232287
2025-06-08,0.037800687285223365,0.08920353678300952,0.03225806451612903,0.02166540825641967,0.038461538461538464,134692.0,0.030408812140277627,0.03535980148883375,0.8046433440029184,0.719274163252381,0.7619587536276498,0.052471012069503505,0.07893469745594002
2025-06-15,0.03436426116838488,0.07958620571200026,0.03225806451612903,0.00015589586588454573,0.038461538461538464,1348.0,0.018279053282355292,0.03535980148883375,0.5530953742368855,0.4389130999482735,0.49600423709257946,0.044076506720913476,0.06467188423251512
2025-06-22,0.027491408934707903,0.07062401621414051,0.03225806451612903,0.010118270462074839,0.038461538461538464,102108.0,0.023897088657125275,0.03535980148883375,0.7658286276937303,0.7024074839047219,0.7341180557992261,0.04067083793532456,0.06027064945058095
2025-06-29,0.06872852233676977,0.0667876347548924,0.016129032258064516,0.004496543902146087,0.019230769230769232,8998.0,0.011631284828156074,0.017679900744416874,0.7244822887931353,0.5544859523760185,0.6394841205845769,0.04904914730660607,0.07295761939692572
2025-07-06,0.04467353951890034,0.051210232967852674,0.03225806451612903,0.011196602926245657,0.038461538461538464,74379.0,0.024505187647078056,0.03535980148883375,0.7709912350655612,0.6831111078750663,0.7270511714703138,0.040129653377943685,0.06072728351539605
2025-07-13,0.037800687285223365,0.04827927188497972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02869331972340103,0.039829933255622896
2025-07-20,0.027491408934707903,0.05127157581178053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026254328248829478,0.03565673998995864
2025-07-27,0.04467353951890034,0.05078696734475047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03182016895455027,0.04476239136058575
2025-08-03,0.04467353951890034,0.06483570546110803,0.016129032258064516,0.02278306812206448,0.019230769230769232,350244.0,0.021943519020632258,0.017679900744416874,0.8072076665328092,0.7774722641303822,0.7923399653315957,0.04381758800021354,0.0655867485603582
2025-08-10,0.041237113402061855,0.07198091992182469,0.016129032258064516,0.01003445717308947,0.019230769230769232,136924.0,0.014754254393109564,0.017679900744416874,0.7654045847944423,0.7202750669033221,0.7428398258488822,0.042657429238998706,0.06250730102678553
2025-08-17,0.027491408934707903,0.05789782981286753,0.016129032258064516,0.008014204533087417,0.019230769230769232,27406.0,0.01361498275782652,0.017679900744416874,0.7539438461733875,0.6223093008384176,0.6881265735059026,0.03300140716846731,0.04757901773319487
2025-08-24,0.024054982817869417,0.05972584656191763,0.016129032258064516,0.01928021392023633,0.019230769230769232,63269.0,0.019968170811375228,0.017679900744416874,0.7986971842901998,0.6732589711704762,0.735978077730338,0.03458300006372076,0.05067125481029455
2025-08-31,0.041237113402061855,0.05965714257671843,0.016129032258064516,0.002092907372922982,0.019230769230769232,4070.0,0.010275813306895601,0.017679900744416874,0.685495254206111,0.5061786108829769,0.595836932544544,0.03705668976189196,0.05374100839642275
2025-09-07,0.04467353951890034,0.06937016848425513,0.016129032258064516,0.00988809118633972,0.019230769230769232,0.0,0.014671714905833341,0.017679900744416874,0.7646554993974952,0.0,0.3823277496987476,0.042905140969662935,0.06307478681393443
2025-09-14,0.048109965635738834,0.058967649010969334,0.08064516129032258,0.0730636246759667,0.09615384615384616,43216.0,0.08668027774239567,0.08839950372208437,0.8666151197691327,0.6500452939367226,0.7583302068529276,0.06458596412970129,0.10629306624568696
2025-09-21,0.03436426116838488,0.062172199177760526,0.03225806451612903,0.006687229409177949,0.038461538461538464,53991.0,0.0219622377015274,0.03535980148883375,0.7447156910723017,0.6636017392170966,0.7041587151446992,0.039499566015890934,0.05872450112985786
2025-09-28,0.037800687285223365,0.061439765621261924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308015096882843,0.046115105458551936
2025-10-05,0.027491408934707903,0.05960561458781903,0.03225806451612903,0.019466303882210597,0.038461538461538464,1115.0,0.02916868148188595,0.03535980148883375,0.7991868750556492,0.42736569724410983,0.6132762861498795,0.03875523500147096,0.05839940130692102
2025-10-12,0.037800687285223365,0.06022517731149038,0.03225806451612903,0.00015639233989283874,0.038461538461538464,590.0,0.018279333256623908,0.03535980148883375,0.5532574661149295,0.38865220726679117,0.47095483669086036,0.038768399284445886,0.057293066516148176
2025-10-19,0.030927835051546393,0.07604304304672731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035656959366091236,0.0493544844668781
2025-10-26,0.041237113402061855,0.08667621161318184,0.04838709677419355,0.04851906979975914,0.057692307692307696,394648.0,0.05464784189645019,0.05303970223325062,0.8457453184179385,0.7847415154968724,0.8152434169574054,0.06085372230389796,0.09518666439584413
