date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca,z_score,is_spike
2024-04-07,0.0137457044673539,0.0634812554671809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257423199781783,0.0340181515258261,-0.9451896336616061,False
2024-04-14,0.0137457044673539,0.0545117048280498,0.0161290322580645,0.005433199637121,0.0192307692307692,115271.0,0.0121594887219429,0.0176799007444168,0.7341286419614242,0.709791825815959,0.7219602338886917,0.0268056326724489,0.0375559703996337,-0.6136894059235388,False
2024-04-21,0.0137457044673539,0.0545889968113989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227782337595843,0.0297713977151773,-1.3726759050551318,False
2024-04-28,0.0171821305841924,0.0524604001271023,0.0161290322580645,0.0125795978765177,0.0192307692307692,109715.0,0.016189523702406,0.0176799007444168,0.776928643396536,0.7067834087675485,0.7418560260820423,0.0286106848045669,0.0410360139312698,0.4225191867492258,False
2024-05-05,0.0171821305841924,0.0551140915554214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240987407132046,0.0318895898245675,-0.8970794543341709,False
2024-05-12,0.0274914089347079,0.0463923660057588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246279249801555,0.0333265330494301,-0.5104481184557811,False
2024-05-19,0.0309278350515463,0.0603073767223537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304117372579666,0.0418394645475373,1.7580366824004754,True
2024-05-26,0.0240549828178694,0.0426725359499736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222425062559477,0.0296826032299228,-1.2089524693536884,False
2024-06-02,0.0171821305841924,0.0456427564529604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209416290123843,0.0273662814059404,-1.2553225194457587,False
2024-06-09,0.0171821305841924,0.043571822041956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202513175420494,0.0263772471299505,-1.1121589129336844,False
2024-06-16,0.0103092783505154,0.0400409279454686,0.0161290322580645,0.246829243014152,0.0192307692307692,2425644.0,0.148288831975135,0.0176799007444168,0.9286762365143456,0.895327034536142,0.9120016355252438,0.0662130127570397,0.116341636549225,2.406584443600182,True
2024-06-23,0.0171821305841924,0.0396127548948522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189316284930148,0.0244864807741332,-0.6088469048955369,False
2024-06-30,0.0171821305841924,0.0368388314924345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180069873588756,0.0231617138914239,-0.6043677485565793,False
2024-07-07,0.0171821305841924,0.0403427347375937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019174955107262,0.0248351036380041,-0.4811958505747961,False
2024-07-14,0.0206185567010309,0.0430884404318045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212356657109451,0.0280138123584972,-0.283613541613771,False
2024-07-21,0.0309278350515463,0.0435325626218422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248201325577962,0.0338281697278628,-0.0844629074664406,False
2024-07-28,0.0171821305841924,0.0485982546734045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219267950858656,0.0287777645640327,-0.2702094593982611,False
2024-08-04,0.0206185567010309,0.0449643045991183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218609537667164,0.0289096852305284,-0.28798121275819444,False
2024-08-11,0.0206185567010309,0.0481443176283384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229209581097897,0.0304283918912902,0.7941549296492891,False
2024-08-18,0.0206185567010309,0.055073605278429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252307206598199,0.0337376724545552,1.3343731727340318,False
2024-08-25,0.0171821305841924,0.0594743409018134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255521571620019,0.0339719522753188,1.2163024026486255,False
2024-09-01,0.0206185567010309,0.054946012163059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251881896213633,0.0336767366934752,0.8932088791798183,False
2024-09-08,0.0274914089347079,0.0679016208006222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317976765784433,0.0435988961576386,2.174380556643299,True
2024-09-15,0.0171821305841924,0.0653779762014302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275200355952075,0.0367914030668257,0.6886880922869589,False
2024-09-22,0.0171821305841924,0.0556784457195577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242868587679167,0.0321591133831903,-0.41194312764380875,False
2024-09-29,0.0171821305841924,0.0552061058213132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241294121351685,0.0319335338830386,-0.617084347518939,False
2024-10-06,0.0103092783505154,0.0567102323544242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223398369016465,0.0289170367274165,-1.1998855922048564,False
